Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
EndtoEndDemo,Chrome 70.0.3538.102,,2018-11-20 11:25:53,2018-11-20 11:26:57,1m - 4.389s,PASSED
,,,,,,
Test Cases/Nirmal/TC5 - End To End Scenario,Chrome 70.0.3538.102,,2018-11-20 11:25:53,2018-11-20 11:26:56,1m - 3.421s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-20 11:25:53,2018-11-20 11:25:56,2.923s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-20 11:25:56,2018-11-20 11:25:59,2.128s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-20 11:25:59,2018-11-20 11:26:00,1.144s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-20 11:26:00,2018-11-20 11:26:05,5.026s,PASSED
click,Chrome 70.0.3538.102,,2018-11-20 11:26:05,2018-11-20 11:26:05,0.610s,PASSED
click,Chrome 70.0.3538.102,,2018-11-20 11:26:05,2018-11-20 11:26:05,0.071s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-20 11:26:05,2018-11-20 11:26:05,0.109s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-20 11:26:05,2018-11-20 11:26:06,0.093s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-20 11:26:06,2018-11-20 11:26:06,0.149s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-20 11:26:06,2018-11-20 11:26:06,0.126s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-20 11:26:06,2018-11-20 11:26:06,0.188s,PASSED
click,Chrome 70.0.3538.102,,2018-11-20 11:26:06,2018-11-20 11:26:07,0.928s,PASSED
click,Chrome 70.0.3538.102,,2018-11-20 11:26:07,2018-11-20 11:26:07,0.473s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-20 11:26:07,2018-11-20 11:26:12,5.004s,PASSED
mouseOver,Chrome 70.0.3538.102,,2018-11-20 11:26:12,2018-11-20 11:26:13,0.102s,PASSED
click,Chrome 70.0.3538.102,,2018-11-20 11:26:13,2018-11-20 11:26:13,0.717s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-20 11:26:13,2018-11-20 11:26:18,5.004s,PASSED
click,Chrome 70.0.3538.102,,2018-11-20 11:26:18,2018-11-20 11:26:18,0.127s,PASSED
click,Chrome 70.0.3538.102,,2018-11-20 11:26:18,2018-11-20 11:26:23,4.844s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-20 11:26:23,2018-11-20 11:26:28,5.002s,PASSED
click,Chrome 70.0.3538.102,,2018-11-20 11:26:28,2018-11-20 11:26:29,0.721s,PASSED
selectOptionByLabel,Chrome 70.0.3538.102,,2018-11-20 11:26:29,2018-11-20 11:26:29,0.143s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-20 11:26:29,2018-11-20 11:26:29,0.101s,PASSED
click,Chrome 70.0.3538.102,,2018-11-20 11:26:29,2018-11-20 11:26:30,0.594s,PASSED
click,Chrome 70.0.3538.102,,2018-11-20 11:26:30,2018-11-20 11:26:30,0.066s,PASSED
click,Chrome 70.0.3538.102,,2018-11-20 11:26:30,2018-11-20 11:26:31,1.222s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-20 11:26:31,2018-11-20 11:26:36,5.003s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 11:26:36,2018-11-20 11:26:36,0.201s,PASSED
selectOptionByLabel,Chrome 70.0.3538.102,,2018-11-20 11:26:36,2018-11-20 11:26:36,0.118s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 11:26:36,2018-11-20 11:26:37,0.112s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 11:26:37,2018-11-20 11:26:37,0.194s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 11:26:37,2018-11-20 11:26:37,0.154s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 11:26:37,2018-11-20 11:26:37,0.164s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 11:26:37,2018-11-20 11:26:37,0.145s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 11:26:37,2018-11-20 11:26:37,0.145s,PASSED
click,Chrome 70.0.3538.102,,2018-11-20 11:26:37,2018-11-20 11:26:37,0.062s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-20 11:26:37,2018-11-20 11:26:42,5.001s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-20 11:26:42,2018-11-20 11:26:42,0.071s,PASSED
Statement - driver = com.kms.katalon.core.webui.driver.DriverFactory.getWebDriver(),Chrome 70.0.3538.102,,2018-11-20 11:26:42,2018-11-20 11:26:42,0.002s,PASSED
"Statement - elem = driver.findElement(org.openqa.selenium.By.xpath(""(//input[@type = 'button' and @class = 'button-1 new-address-next-step-button' and @title = 'Continue' and @value = 'Continue'])[2]""))",Chrome 70.0.3538.102,,2018-11-20 11:26:42,2018-11-20 11:26:43,0.028s,PASSED
executeJavaScript,Chrome 70.0.3538.102,,2018-11-20 11:26:43,2018-11-20 11:26:43,0.044s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-20 11:26:43,2018-11-20 11:26:43,0.554s,PASSED
click,Chrome 70.0.3538.102,,2018-11-20 11:26:43,2018-11-20 11:26:43,0.108s,PASSED
click,Chrome 70.0.3538.102,,2018-11-20 11:26:43,2018-11-20 11:26:43,0.075s,PASSED
click,Chrome 70.0.3538.102,,2018-11-20 11:26:43,2018-11-20 11:26:44,0.656s,PASSED
click,Chrome 70.0.3538.102,,2018-11-20 11:26:44,2018-11-20 11:26:44,0.072s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-20 11:26:44,2018-11-20 11:26:49,5.003s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-20 11:26:49,2018-11-20 11:26:49,0.181s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-20 11:26:49,2018-11-20 11:26:49,0.096s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-20 11:26:49,2018-11-20 11:26:49,0.102s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-20 11:26:49,2018-11-20 11:26:50,0.105s,PASSED
selectOptionByValue,Chrome 70.0.3538.102,,2018-11-20 11:26:50,2018-11-20 11:26:50,0.099s,PASSED
sendKeys,Chrome 70.0.3538.102,,2018-11-20 11:26:50,2018-11-20 11:26:50,0.068s,PASSED
click,Chrome 70.0.3538.102,,2018-11-20 11:26:50,2018-11-20 11:26:50,0.068s,PASSED
delay,Chrome 70.0.3538.102,,2018-11-20 11:26:50,2018-11-20 11:26:55,5.001s,PASSED
click,Chrome 70.0.3538.102,,2018-11-20 11:26:55,2018-11-20 11:26:55,0.146s,PASSED
click,Chrome 70.0.3538.102,,2018-11-20 11:26:55,2018-11-20 11:26:56,1.570s,PASSED
